10	2.80733	0.286489	6.6071	45.1332	0.674258	0.47003	0.821106	0.86405
11	2.2331	0.259978	5.51012	28.9684	0.64149	0.392629	0.834734	0.871092
12	1.85347	0.241314	4.70077	18.9089	0.612023	0.320526	0.84329	0.875806
13	1.54446	0.223059	4.06328	13.0752	0.586838	0.272728	0.850676	0.880092
14	1.32134	0.209184	3.56747	9.38832	0.564775	0.235297	0.856428	0.883046
15	1.15326	0.198285	3.15959	6.78138	0.543243	0.200467	0.861266	0.886222
16	0.984056	0.183748	2.81343	5.1392	0.525339	0.179185	0.86558	0.890066
17	0.843966	0.170209	2.52537	3.96844	0.509309	0.161411	0.868916	0.8933
18	0.775179	0.166322	2.30241	3.1931	0.494005	0.146998	0.8731	0.89579
19	0.676671	0.155273	2.09842	2.57274	0.481517	0.135467	0.88006	0.897596
20	0.608104	0.148123	1.92273	2.08636	0.468343	0.123789	0.884596	0.899784
21	0.533961	0.138158	1.76434	1.6971	0.456509	0.113616	0.888778	0.902926
22	0.499565	0.135785	1.64016	1.42552	0.445807	0.105316	0.891632	0.903826
23	0.448642	0.128556	1.52009	1.19617	0.435572	0.098215	0.893426	0.906108
24	0.419741	0.125877	1.41867	1.00343	0.425447	0.0902428	0.894476	0.907398
25	0.382226	0.120187	1.32828	0.874071	0.417661	0.0864207	0.896004	0.908064
26	0.348981	0.114815	1.2427	0.74085	0.408849	0.080191	0.897432	0.909806
27	0.320206	0.109998	1.16705	0.649194	0.400908	0.0766094	0.901376	0.911714
28	0.298004	0.106567	1.10104	0.563677	0.393736	0.0720835	0.904316	0.912526
29	0.274917	0.102306	1.03773	0.492016	0.386174	0.0681362	0.905666	0.914366
30	0.251838	0.0974765	0.983156	0.436889	0.380541	0.065453	0.906906	0.915058
31	0.237712	0.0952971	0.931655	0.381561	0.373495	0.0613229	0.908556	0.916186
32	0.235431	0.0972201	0.889495	0.343806	0.367312	0.0586269	0.90851	0.916012
33	0.212611	0.0911542	0.844402	0.306752	0.362027	0.0563858	0.91008	0.917464
34	0.199764	0.0884894	0.803035	0.27297	0.35572	0.0535626	0.91106	0.9186
35	0.187837	0.0859055	0.768511	0.250749	0.351471	0.0524467	0.912416	0.918626
36	0.177319	0.0836221	0.734995	0.225427	0.346616	0.0501343	0.914336	0.919848
37	0.163208	0.0794649	0.702017	0.205136	0.341808	0.0486308	0.91591	0.921034
38	0.158151	0.0791096	0.673944	0.185632	0.337117	0.0464478	0.915536	0.920864
39	0.152402	0.078305	0.646429	0.168163	0.332139	0.0443944	0.91544	0.921834
40	0.144	0.076069	0.62039	0.153505	0.327726	0.0428364	0.916914	0.922244
41	0.134845	0.0732436	0.597259	0.14182	0.324413	0.0418416	0.91861	0.922844
42	0.126435	0.0705495	0.573433	0.130787	0.31997	0.0407208	0.919838	0.92394
43	0.12283	0.0702014	0.553631	0.119091	0.316417	0.0389009	0.919848	0.924752
44	0.116556	0.0683013	0.533091	0.110087	0.312389	0.0378027	0.92045	0.925334
45	0.112129	0.0672751	0.515951	0.102756	0.30956	0.0369895	0.920796	0.924924
46	0.107895	0.0662439	0.497433	0.0941821	0.305408	0.0355025	0.921574	0.926176
