  0.09 -0.045  -0.03
-0.045   0.09 -0.015
 -0.03 -0.015   0.09


    0.0911    -0.0456    -0.0303
   -0.0456     0.0908    -0.0151
   -0.0303    -0.0151     0.0909


 0.072 -0.036 -0.024
-0.036  0.072 -0.012
-0.024 -0.012  0.072


    0.0725    -0.0362    -0.0242
   -0.0362     0.0724     -0.012
   -0.0242     -0.012     0.0726


 0.06 -0.03 -0.02
-0.03  0.06 -0.01
-0.02 -0.01  0.06


    0.0604    -0.0302    -0.0202
   -0.0302     0.0603      -0.01
   -0.0202      -0.01     0.0603


     0.0514     -0.0257     -0.0171
    -0.0257      0.0514    -0.00857
    -0.0171    -0.00857      0.0514


     0.0514     -0.0258     -0.0171
    -0.0258      0.0517    -0.00861
    -0.0171    -0.00861      0.0517


  0.045 -0.0225  -0.015
-0.0225   0.045 -0.0075
 -0.015 -0.0075   0.045


     0.0451     -0.0226      -0.015
    -0.0226      0.0451    -0.00753
     -0.015    -0.00753      0.0452


       0.04       -0.02     -0.0133
      -0.02        0.04    -0.00667
    -0.0133    -0.00667        0.04


     0.0402     -0.0201     -0.0134
    -0.0201      0.0402    -0.00669
    -0.0134    -0.00669      0.0403


 0.036 -0.018 -0.012
-0.018  0.036 -0.006
-0.012 -0.006  0.036


     0.0362     -0.0181     -0.0121
    -0.0181      0.0362    -0.00601
    -0.0121    -0.00601      0.0362
